custom_var_v1,idaction_url,idvisit
1729,1878,314
1729,1879,314
1729,1880,314
1729,1881,314
1729,2649,314
1729,2650,314
1729,2651,314
1729,2652,314
1729,1870,314
1729,1871,314
1729,2649,314
1729,2650,314
1729,2653,314
1729,1295,314
1729,1296,314
1729,2132,314
1729,2133,314
1729,1985,314
1729,1986,314
1729,2618,314
1729,1936,314
1729,1937,314
1729,1582,314
1729,1583,314
1729,2618,314
1729,2421,450
1729,2618,450
1729,1261,450
1729,2421,450
1729,2617,450
1729,1968,450
1729,1261,450
1729,1262,450
1729,2425,450
1729,1266,450
1729,2643,450
1729,1070,450
1729,2643,450
1729,232,450
1729,2643,450
1729,2643,450
1729,2646,450
1729,1710,450
1729,2193,450
1729,2192,450
1729,2644,450
1729,1262,450
1729,2178,450
1729,3034,450
1729,2421,738
1729,1261,738
1729,1262,738
1729,1261,738
1729,1968,738
1729,1261,738
1729,2421,738
1729,1262,738
1729,2425,738
1729,1266,738
1729,1477,738
1729,1478,738
1729,3261,738
1730,2442,344
1730,2764,344
1730,2275,344
1730,2333,344
1730,2334,344
1730,2347,344
1730,2348,344
1730,2349,344
1730,2350,344
1730,2351,344
1730,2352,344
1730,2344,344
1730,2353,344
1730,2364,344
1730,2365,344
1730,2764,344
1730,2764,344
1730,2366,344
1730,2367,344
1730,2354,344
1730,2355,344
1730,2356,344
1730,2357,344
1730,2358,344
1730,2359,344
1730,2764,344
1730,230,344
1730,2764,344
1730,2499,344
1730,232,344
1730,2764,344
1730,2764,344
1730,2360,344
1730,2361,344
1730,667,344
1730,2764,344
1730,2362,344
1730,2363,344
1730,2368,344
1730,2369,344
1730,2370,344
1730,2371,344
1730,2764,344
1730,2368,344
1730,2369,344
1730,2434,344
1730,2435,344
1730,2764,344
1731,2341,292
1731,2275,292
1731,2341,292
1731,2275,292
1731,2333,292
1731,2334,292
1731,2347,292
1731,2348,292
1731,2349,292
1731,2350,292
1731,2351,292
1731,2352,292
1731,2275,292
1731,2351,292
1731,2352,292
1731,2341,292
1731,2354,292
1731,2355,292
1731,2518,292
1731,2519,292
1731,2344,292
1731,2353,292
1731,2364,292
1731,2365,292
1731,2366,292
1731,2367,292
1731,2356,292
1731,2357,292
1731,2341,292
1731,2341,292
1731,2341,376
1731,1266,376
1731,1267,376
1731,1267,376
1731,1268,376
1731,1726,376
1731,1727,376
1731,1685,376
1731,1686,376
1731,1313,376
1731,1314,376
1731,1730,376
1731,1732,376
1731,1989,376
1731,1989,376
1731,1991,376
1731,1816,376
1731,1817,376
1731,2341,376
1731,1818,376
1731,1819,376
1731,1307,376
1731,1308,376
1731,1812,376
1731,1813,376
1731,2341,376
1731,2341,376
1731,1814,376
1731,1815,376
1731,1309,376
1731,1310,376
1731,1311,376
1731,1312,376
1731,2041,376
1731,2042,376
1731,2043,376
1731,2044,376
1731,2045,376
1731,2047,376
1731,2341,376
1731,2341,376
1731,2323,376
1731,2324,376
1731,1301,376
1731,1302,376
1731,1303,376
1731,1304,376
1731,1316,376
1731,1317,376
1731,2341,376
1731,2325,376
1731,2326,376
1731,2048,376
1731,2050,376
1731,1618,376
1731,1619,376
1731,2052,376
1731,2054,376
1731,2341,376
1731,1939,376
1731,1940,376
1731,1941,376
1731,1942,376
1731,1987,376
1731,1988,376
1731,2341,376
1731,1707,376
